,index,0
0,0,Los Angeles
1,4,San Diego
2,5,Orange
3,10,Riverside
4,11,San Bernardino
5,16,Santa Clara
6,21,Alameda
7,24,Sacramento
8,36,Contra Costa
9,45,Fresno
10,61,Kern
11,62,Ventura
12,65,San Francisco
13,81,San Mateo
14,86,San Joaquin
15,124,Stanislaus
16,136,Sonoma
17,145,Tulare
18,156,Santa Barbara
19,160,Monterey
20,161,Solano
21,186,Placer
22,238,San Luis Obispo
23,249,Santa Cruz
24,251,Merced
25,255,Marin
26,283,Butte
27,307,Yolo
28,338,El Dorado
29,348,Shasta
30,352,Imperial
31,407,Kings
32,413,Madera
33,453,Napa
34,457,Humboldt
35,588,Nevada
36,607,Sutter
37,644,Mendocino
38,742,Yuba
39,807,Lake
40,819,Tehama
41,903,Tuolumne
42,906,San Benito
43,1053,Calaveras
44,1067,Siskiyou
45,1211,Amador
46,1298,Lassen
47,1466,Del Norte
48,1488,Glenn
49,1761,Colusa
50,1832,Plumas
51,1890,Inyo
52,1906,Mariposa
53,2147,Mono
54,2187,Trinity
55,2428,Modoc
56,2817,Sierra
57,2851,Alpine
58,0,Tuolumne
59,1,Los Angeles
60,2,Riverside
61,3,Placer
62,4,Ventura
63,5,Fresno
64,6,Riverside
65,7,Siskiyou
66,8,Humboldt
67,9,Tehama
68,10,Shasta
69,11,San Diego
70,12,Tehama
71,13,Kern
72,14,Ventura
73,15,Sonoma
74,16,Riverside
75,17,Contra Costa
76,18,San Diego
77,19,Butte
78,20,San Diego
79,21,Tulare
80,22,Santa Barbara
81,23,Mariposa
82,24,Riverside
83,25,San Diego
84,26,Tuolumne
85,27,Monterey
86,28,Kern
87,29,Kern
88,30,Los Angeles
89,31,Kern
90,32,El Dorado
91,33,San Bernardino
92,34,Plumas
93,35,Riverside
94,36,Modoc
95,37,San Luis Obispo
96,38,Contra Costa
97,39,Madera
98,40,San Bernardino
99,41,Inyo
100,42,Napa
101,43,San Benito
102,44,Riverside
103,45,Butte
